"Technology","Clients","ISP","Nodes","DNS Server","Web page Server","3rd party","VPN/Proxy",,"notes"
"HTTP","DHBC","IDHBC","IDHBC","ID","IDHBC*F","IDHC*",,,
"HTTPS","DHBC","ID","ID","ID","IDHBC*F","IDHC*",,,
,,,,,,,,,
"Incognito (https)","/","ID","ID","ID","IDHBC#F","IDHC#",,,
,,,,,,,,,
"VPN (https)","DHBC","Id","Id or iD","iD","iDHBC*F","iDHC*","IDHC",,"! superior to proxy because lower level (all net coms tunnelled) !!! need to clear session / incognito; Main pros: ISP out of loop, bypass region locks, sites can't geolocate you."
,,,,,,,,,
"Brave with Tor","/","Id","Id or iD","iD","iDHBC#F","iDHC#","?",,"kind of free incognito vpn; slower then vpn; not as private as Tor"
"Tor network","DHBC","Id","Id or iD","iD","iDhBC#f","iDhC#","IDHC",,"true anonymity"
,,,,,,,,,
"Anonymous web proxy (HTTPS both ways)","DHB","Id","Id + iD","Id + iD","iDHCF","IDHfc","IDHCF",,"! limited to some http requests, so not reliable. Also not practical and reliable. Only for one off. + different user-agent?"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"DoH","https everywhere","3rd party c","forget",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"Ip","Domain","Headers","Cookies","Body","Fingerprints",,,
,,,,,,,,,
,"IP",,"bad","but shared and leased",,,,,
,"q: session storage",,,,,,,,
,"q: 1st party cookies",,"bad",,,,,,
,"3rd",,"evil",,,,,,
,"fp",,"bad",,,,,,
,"forwarded fp",,"evil",,,,,,
,"http resources",,"evil",,,,,,
